"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"300833B2DDD9014000000040","1617968117083096","1","32.5","15","924.125","-57","1.5278448647341","87.5390625","71","¡Þ",""
"300833B2DDD9014000000041","1617968117089084","1","32.5","15","924.125","-60","4.35650543759522","249.609375","39","0",""
"300833B2DDD9014000000039","1617968117095038","1","32.5","15","924.125","-40","1.9972429858271","114.43359375","78","0",""
"300833B2DDD9014000000037","1617968117101022","1","32.5","15","924.125","-39.5","6.09297168948177","349.1015625","104","-¡Þ",""
"300833B2DDD9014000000045","1617968117107002","1","32.5","15","924.125","-59.5","0.539961237335746","30.9375","45","¡Þ",""
"300833B2DDD9014000000038","1617968117113927","1","32.5","15","924.125","-62.5","5.74015610826807","328.88671875","234","-¡Þ",""
"300833B2DDD9014000000043","1617968117119932","1","32.5","15","924.125","-67","4.71238898038469","270","221","-¡Þ",""
"300833B2DDD9014000000042","1617968117125894","1","32.5","15","924.125","-54","4.21537920510974","241.5234375","84","0",""
"300833B2DDD9014000000044","1617968117136219","1","32.5","15","924.125","-68.5","0.963339934792183","55.1953125","188","¡Þ",""
"300833B2DDD9014000000040","1617968117170895","1","32.5","15","924.125","-57","1.81009732970506","103.7109375","19","0.0838761465730675",""
"300833B2DDD9014000000044","1617968117177233","1","32.5","15","924.125","-69","1.07685451309572","61.69921875","143","0.0722120724259171",""
"300833B2DDD9014000000045","1617968117185861","1","32.5","15","924.125","-60","0.564504929941916","32.34375","13","0.00812042825248228",""
"300833B2DDD9014000000039","1617968117192283","1","32.5","15","924.125","-40","2.08928183310024","119.70703125","104","0.0246941559294501",""
"300833B2DDD9014000000037","1617968117198579","1","32.5","15","924.125","-39.5","6.19421442148222","354.90234375","110","0.0270766988806063",""
"300833B2DDD9014000000043","1617968117204592","1","32.5","15","924.125","-67","4.71545694196046","270.17578125","-91","0.000945500902968491",""
"300833B2DDD9014000000042","1617968117210783","1","32.5","15","924.125","-54","4.22151512826128","241.875","71","0.00188590056297783",""
"300833B2DDD9014000000041","1617968117217345","1","32.5","15","924.125","-61.5","1.20877686085389","69.2578125","195","0",""
"300833B2DDD9014000000038","1617968117223402","1","32.5","15","924.125","-63.5","5.92116584123858","339.2578125","-143","0.043139714823233",""
"300833B2DDD9014000000045","1617968117271711","1","32.5","15","924.125","-58.5","0.490873852123405","28.125","-26","-0.0223774787965929",""
"300833B2DDD9014000000041","1617968117276109","1","32.5","15","924.125","-59.5","4.20310735880666","240.8203125","325","0",""
"300833B2DDD9014000000038","1617968117282029","1","32.5","15","924.125","-60.5","5.94570953384475","340.6640625","-182","0.0109227634291794",""
"300833B2DDD9014000000044","1617968117286710","1","32.5","15","924.125","-67.5","1.04924285891378","60.1171875","-403","-0.0065805142450726",""
"300833B2DDD9014000000040","1617968117291539","1","32.5","15","924.125","-55","5.35666091129666","306.9140625","26","0",""
"300833B2DDD9014000000037","1617968117296579","1","32.5","15","924.125","-39.5","3.06796157577128","175.78125","338","0",""
"300833B2DDD9014000000043","1617968117301125","1","32.5","15","924.125","-66","4.50376759323224","258.046875","26","-0.0572154739283619",""
"300833B2DDD9014000000042","1617968117306088","1","32.5","15","924.125","-53.5","4.17856366620049","239.4140625","403","-0.0117585172890654",""
"300833B2DDD9014000000039","1617968117310916","1","32.5","15","924.125","-39.5","2.18438864194915","125.15625","117","0.020916855342145",""
"300833B2DDD9014000000038","1617968117345529","1","32.5","15","924.125","-61.5","2.67219453249679","153.10546875","52","0",""
"300833B2DDD9014000000042","1617968117353586","1","32.5","15","924.125","-54","4.22765105141283","242.2265625","130","0.0269640343409196",""
"300833B2DDD9014000000041","1617968117359947","1","32.5","15","924.125","-62.5","4.2307190129886","242.40234375","32","0.0085929406475323",""
"300833B2DDD9014000000037","1617968117366729","1","32.5","15","924.125","-39.5","6.24023384511879","357.5390625","123","0",""
"300833B2DDD9014000000040","1617968117373040","1","32.5","15","924.125","-55","2.40834983698046","137.98828125","78","0",""
"300833B2DDD9014000000044","1617968117379453","1","32.5","15","924.125","-68.5","3.96994227904804","227.4609375","169","0",""
"300833B2DDD9014000000043","1617968117386470","1","32.5","15","924.125","-66","4.39638893808025","251.89453125","-6","-0.0328269227908599",""
"300833B2DDD9014000000039","1617968117392418","1","32.5","15","924.125","-40","5.39961237335746","309.375","84","0",""
"300833B2DDD9014000000045","1617968117400969","1","32.5","15","924.125","-60","0.475534044244549","27.24609375","273","-0.00309636952626965",""
"300833B2DDD9014000000039","1617968117449750","1","32.5","15","924.125","-40","2.32244691285886","133.06640625","58","0",""
"300833B2DDD9014000000038","1617968117457577","1","32.5","15","924.125","-64","2.09848571782756","120.234375","0","-0.13359115651572",""
"300833B2DDD9014000000042","1617968117464045","1","32.5","15","924.125","-54.5","4.25833066717054","243.984375","104","0.00724668034703487",""
